Row Labels,Sum of Terakhir,Sum of Tertinggi,Sum of Pembukaan,Sum of Terendah
13/06/2014,1273.7,1274.7,1272.5,1271.3
13/06/2016,1337.7,1337.7,1337.7,1337.7
13/06/2017,1341.2,1342.8,1342.8,1342.8
13/06/2018,1393.9,1393.9,1393.9,1393.9
13/06/2019,1380.7,1378.7,1378.3,1378.3
13/07/2011,1585.2,1585.6,1574,1570.8
13/07/2012,1591.6,1594.1,1567.8,1567.8
13/07/2015,1255,1255,1255,1255
13/07/2016,1399,1399,1399,1399
13/07/2017,1288.5,1288.5,1288.5,1288.5
13/07/2018,1329,1327,1327,1327
13/07/2020,1843.7,1847.7,1831.6,1831.6
13/08/2012,1609.6,1623.7,1622,1607.3
13/08/2013,1321.2,1339.1,1331.9,1320.2
13/08/2014,1467.9,1312.6,1308.8,1305
13/08/2015,1205.1,1205.1,1205.1,1205.1
13/08/2018,1274.1,1274.1,1274.1,1274.1
13/08/2019,1540.7,1571.7,1556.2,1523.1
13/08/2020,1970.4,1974.8,1927.3,1923
13/09/2011,1826.8,1835.3,1817.8,1808.1
13/09/2012,1769.1,1767.5,1728.7,1728.7
13/09/2013,1308.4,1323,1322.9,1305.3
13/09/2016,1380.8,1380.8,1380.8,1380.8
13/09/2017,1396.7,1396.7,1396.7,1396.7
13/09/2018,1281,1281,1281,1281
13/09/2019,1530.7,1543.4,1543.4,1525.6
13/10/2011,1667.3,1678.8,1676.1,1656.2
13/10/2014,1229.3,1234,1229.8,1227
13/10/2015,1231.7,1231.7,1231.7,1231.7
13/10/2016,1312.3,1312.3,1312.3,1312.3
13/10/2017,1380.4,1372,1372,1372
13/10/2020,1894.6,1930.6,1927.3,1889.3
13/11/2012,1724.2,1728.2,1721.6,1718.5
13/11/2013,1268.3,1280.5,1274,1271.1
13/11/2014,1281.4,1164.5,1163.7,1155
13/11/2015,1141.3,1141.3,1141.3,1141.3
13/11/2017,1360.4,1360.4,1360.4,1360.4
13/11/2018,1274.7,1274.7,1274.7,1274.7
13/11/2019,1493.9,1498.1,1489.9,1489.9
13/11/2020,1886.2,1895.8,1875.6,1872.1
13/12/2011,1659.9,1671.8,1654.7,1628
13/12/2012,1695.6,1707.2,1707.2,1689.9
13/12/2013,1235.7,1239,1226.7,1222.2
13/12/2016,1233.6,1233.6,1233.6,1233.6
13/12/2017,1328.7,1328.7,1328.7,1328.7
13/12/2018,1313.2,1313.2,1313.2,1313.2
13/12/2019,1506.9,1507.9,1493,1493
14/01/2011,1360.4,1376,1375,1356.7
14/01/2013,1668.9,1673.8,1665.4,1664.1
14/01/2014,1245.2,1251.3,1251,1242
14/01/2015,1364.5,1364.5,1364.5,1366.7
14/01/2016,1123,1123,1123,1123
14/01/2018,1337.4,1338.6,1337.7,1336.4
14/01/2019,1357.2,1357.2,1357.2,1357.2
14/01/2020,1571.2,1573.9,1573.2,1563.4
14/02/2011,1364.6,1365.6,1357.8,1356.6
14/02/2012,1715.9,1724.9,1720,1715
14/02/2013,1634.7,1646.9,1641.1,1632.7
14/02/2014,1319,1320.7,1301.7,1301.5
14/02/2016,1233.6,1235.9,1235.7,1231.4
14/02/2017,1304.9,1304.9,1304.9,1304.9
14/02/2018,1452.9,1452.9,1452.9,1452.9
14/02/2019,1373.2,1373.2,1373.2,1373.2
14/02/2020,1606.9,1608.4,1601,1597.3
14/03/2011,1424.6,1427.7,1420,1420
14/03/2012,1642.5,1681,1676.9,1637.4
14/03/2013,1590.6,1587.9,1585.7,1575.7
14/03/2014,1379,1386.6,1376.1,1369.8
14/03/2016,1294.4,1286.4,1285,1285
14/03/2017,1286.3,1286.3,1286.3,1286.3
14/03/2018,1429.7,1429.7,1429.7,1429.7
14/03/2019,1352.9,1352.9,1352.9,1352.9
14/04/2011,1471.7,1476,1456.8,1452.7
14/04/2014,1327.2,1330,1320.1,1320.1
14/04/2015,1278.1,1278.1,1278.1,1278.1
14/04/2016,1272.1,1272.1,1272.1,1272.1
14/04/2017,1289.65,1289.65,1289.65,1289.65
14/04/2020,1771.2,1789.5,1768,1750
14/05/2012,1560.6,1563.1,1563,1555.5
14/05/2013,1424.7,1444.4,1430.1,1422
14/05/2014,1305.7,1306.9,1292.8,1292.8
14/05/2015,1319,1319,1319,1319
14/05/2018,1417.9,1417.9,1417.9,1417.9
14/05/2019,1343.4,1343.4,1343.4,1343.4
14/05/2020,1762,1765.1,1743.3,1735
14/06/2011,1523.8,1526.2,1517.2,1513.1
14/06/2012,1618.4,1626.4,1621.2,1610.1
14/06/2013,1387.3,1389.6,1383.9,1377.8
